"lat","lon","location_type","formatted","Actual_Address"
42.0923948,-71.0207842,"street_address","31 Farrington St, Brockton, MA 02301, USA","31 FARRINGTON ST, BROCKTON, MA"
42.1002716,-71.0307653,"street_address","63 Kennedy Dr, Brockton, MA 02301, USA","63 KENNEDY DR, BROCKTON, MA"
42.0676185,-71.0506554,"intersection","Belmont St & Linwood St, Brockton, MA 02301, USA","810 BELMONT ST, BROCKTON, MA @ 0 LINWOOD ST, BROCKTON, MA"
42.0499429,-71.0105001,"premise","1782 Main St, Brockton, MA 02301, USA","1782 MAIN ST, BROCKTON, MA"
42.0888205,-70.9951689,"premise","55 Budd Ave, Brockton, MA 02302, USA","55 BUDD AVE, BROCKTON, MA"
42.0585408,-71.0082057,"premise","181 Forest St, Brockton, MA 02302, USA","181 FOREST ST, BROCKTON, MA"
42.0706295,-71.0142261,"street_address","34 Grove Ave, Brockton, MA 02302, USA","34 GROVE AVE, BROCKTON, MA"
42.0852374,-70.9973942,"intersection","Centre St & Gladstone St, Brockton, MA 02302, USA","1 GLADSTONE ST, BROCKTON, MA @ 532 CENTRE ST, BROCKTON, MA"
42.1105779,-71.0318167,"premise","1047 N Main St, Brockton, MA 02301, USA","1047 N MAIN ST, BROCKTON, MA"
42.0936851,-71.0129477,"street_address","58 River St, Brockton, MA 02302, USA","58 RIVER ST, BROCKTON, MA"
42.0847831,-70.9871672,"street_address","311 Quincy St, Brockton, MA 02302, USA","311 QUINCY ST, BROCKTON, MA"
42.1052993,-71.0215893,"premise","817 N Montello St, Brockton, MA 02301, USA","817 N MONTELLO ST, BROCKTON, MA"
42.1121456,-71.030169,"street_address","58 Frankton Ave, Brockton, MA 02301, USA","58 FRANKTON AVE, BROCKTON, MA"
42.0584715,-71.007752,"premise","153 Auburn St, Brockton, MA 02302, USA","153 AUBURN ST, BROCKTON, MA"
42.0615382,-71.0214994,"premise","140 Market St, Brockton, MA 02301, USA","140 MARKET ST, BROCKTON, MA"
42.0794043,-71.0035233,"premise","21 Kingman Ave, Brockton, MA 02302, USA","21 KINGMAN AVE, BROCKTON, MA"
42.0613305,-71.0226418,"street_address","168 Market St, Brockton, MA 02301, USA","168 MARKET ST, BROCKTON, MA"
42.0793956,-70.9980134,"premise","17 Leonard St, Brockton, MA 02302, USA","17 LEONARD ST, BROCKTON, MA"
42.0674051,-71.0503417,"premise","810 Belmont St, Brockton, MA 02301, USA","810 BELMONT ST, BROCKTON, MA"
42.0697527,-71.0607305,"premise","44 Greenbriar Rd, Brockton, MA 02301, USA","44 GREENBRIAR RD, BROCKTON, MA"
42.0954361,-71.0544047,"premise","540 Westgate Dr, Brockton, MA 02301, USA","540 WESTGATE DR, BROCKTON, MA"
42.0678724,-71.0339505,"premise","31 Falconer Ave, Brockton, MA 02301, USA","31 FALCONER AVE, BROCKTON, MA"
42.0837543,-71.0146351,"premise","157 Centre St, Brockton, MA 02302, USA","157 CENTRE ST, BROCKTON, MA"
42.0767203,-71.0212494,"premise","33 Winthrop St, Brockton, MA 02301, USA","33 WINTHROP ST, BROCKTON, MA"
42.098101,-71.033923,"intersection","Battles St & Sophia Ave, Brockton, MA 02301, USA","89 SOPHIA AVE, BROCKTON, MA @ 316 BATTLES ST, BROCKTON, MA"
42.0907514,-71.0059473,"intersection","N Cary St & Boyden St, Brockton, MA 02302, USA","57 BOYDEN ST, BROCKTON, MA @ 103 N CARY ST, BROCKTON, MA"
42.0894454,-70.9759197,"intersection","Centre St & Brockton Ave, Brockton, MA 02302, USA","199 BROCKTON AVE, BROCKTON, MA @ 645 CENTRE ST, BROCKTON, MA"
42.0787952,-71.0159056,"premise","63 Perkins St, Brockton, MA 02302, USA","63 PERKINS ST, BROCKTON, MA"
42.0872634,-71.0181284,"premise","31 Linden St, Brockton, MA 02301, USA","31 LINDEN ST, BROCKTON, MA"
42.0962988,-71.0545795,"street_address","400 Westgate Dr, Brockton, MA 02301, USA","400 WESTGATE DR, BROCKTON, MA"
42.0876886,-70.9793605,"street_address","937 Centre St, Brockton, MA 02302, USA","937 CENTRE ST, BROCKTON, MA"
42.0840857,-71.0236415,"premise","9 Highland St, Brockton, MA 02301, USA","9 HIGHLAND ST, BROCKTON, MA"
42.1104034,-71.0336924,"premise","39 Sutton St, Brockton, MA 02301, USA","39 SUTTON ST, BROCKTON, MA"
42.0823445,-71.0146206,"street_address","110 Commercial St, Brockton, MA 02302, USA","110 COMMERCIAL ST, BROCKTON, MA"
42.0865115,-71.025575,"premise","177 Pleasant St, Brockton, MA 02301, USA","177 PLEASANT ST, BROCKTON, MA"
42.0868112,-71.0314414,"premise","18 Fenway Cir, Brockton, MA 02301, USA","18 FENWAY CIR, BROCKTON, MA"
42.0903071,-71.0222064,"premise","76 Turner St, Brockton, MA 02301, USA","76 TURNER ST, BROCKTON, MA"
42.0816842,-71.0206471,"premise","215 Main St, Brockton, MA 02301, USA","215 MAIN ST, BROCKTON, MA"
42.0976425,-71.0177919,"street_address","570 N Montello St, Brockton, MA 02301, USA","570 N MONTELLO ST, BROCKTON, MA"
42.0646799,-71.0171558,"street_address","26 Tremont St, Brockton, MA 02301, USA","26 TREMONT ST, BROCKTON, MA"
42.0972294,-71.0236814,"street_address","88 Battles St, Brockton, MA 02301, USA","88 BATTLES ST, BROCKTON, MA"
42.0625095,-71.013591,"street_address","1134 Montello St, Brockton, MA 02301, USA","1134 MONTELLO ST, BROCKTON, MA"
42.081075,-71.0289397,"premise","14 Brett St, Brockton, MA 02301, USA","14 BRETT ST, BROCKTON, MA"
42.0962076,-71.0546335,"street_address","391 Westgate Dr, Brockton, MA 02301, USA","391 WESTGATE DR, BROCKTON, MA"
42.0762011,-71.027689,"street_address","73 Brook St, Brockton, MA 02301, USA","73 BROOK ST, BROCKTON, MA"
42.0688395,-71.0156471,"street_address","827 Montello St, Brockton, MA 02301, USA","827 MONTELLO ST, BROCKTON, MA"
42.1050062,-71.0249832,"premise","829 N Main St, Brockton, MA 02301, USA","829 N MAIN ST, BROCKTON, MA"
42.086686,-71.0194795,"street_address","55 N Main St, Brockton, MA 02301, USA","55 N MAIN ST, BROCKTON, MA"
42.0779169,-71.0249647,"street_address","44 Fuller St, Brockton, MA 02301, USA","44 FULLER ST, BROCKTON, MA"
42.0875265,-71.0478425,"street_address","25 Fern St, Brockton, MA 02301, USA","25 FERN ST, BROCKTON, MA"
42.0848587,-71.0156809,"street_address","7 Commercial St, Brockton, MA 02302, USA","7 COMMERCIAL ST, BROCKTON, MA"
42.0635609,-71.0074357,"intersection","Perkins Ave & S Leyden St, Brockton, MA 02302, USA","179 PERKINS AVE, BROCKTON, MA @ 101 S LEYDEN ST, BROCKTON, MA"
42.0594557,-71.0370894,"premise","900 Ash St, Brockton, MA 02301, USA","900 ASH ST, BROCKTON, MA"
42.0735164,-71.0260333,"premise","91 Foster St, Brockton, MA 02301, USA","91 FOSTER ST, BROCKTON, MA"
42.0809201,-71.0189709,"premise","43 Crescent St, Brockton, MA 02301, USA","43 CRESCENT ST, BROCKTON, MA"
42.0831543,-71.0445595,"premise","168 West St, Brockton, MA 02301, USA","168 WEST ST, BROCKTON, MA"
42.0882979,-71.0264384,"street_address","43 Oakdale St, Brockton, MA 02301, USA","43 OAKDALE ST, BROCKTON, MA"
42.06583,-71.0656144,"premise","679 Pearl St, Brockton, MA 02301, USA","679 PEARL ST, BROCKTON, MA"
42.1028695,-71.0301887,"street_address","125 Oak St, Brockton, MA 02301, USA","125 OAK ST, BROCKTON, MA"
42.0555859,-70.999403,"street_address","380 Plain St, Brockton, MA 02302, USA","380 PLAIN ST, BROCKTON, MA"
42.0575909,-71.022499,"premise","13 Woodbine St, Brockton, MA 02301, USA","13 WOODBINE ST, BROCKTON, MA"
42.0961463,-71.0570141,"premise","405 Westgate Dr, Brockton, MA 02301, USA","405 WESTGATE DR, BROCKTON, MA"
42.1119445,-71.0307814,"street_address","44 Frankton Ave, Brockton, MA 02301, USA","44 FRANKTON AVE, BROCKTON, MA"
42.0635463,-71.0152223,"street_address","1110 Main St, Brockton, MA 02301, USA","1110 MAIN ST, BROCKTON, MA"
42.0822156,-71.0255303,"premise","155 W Elm St, Brockton, MA 02301, USA","155 W ELM ST, BROCKTON, MA"
42.092908,-71.0192969,"intersection","N Main St & Huntington St, Brockton, MA 02301, USA","363 N MAIN ST, BROCKTON, MA @ 63 HUNTINGTON ST, BROCKTON, MA"
42.1038146,-71.0161092,"premise","20 Bellevue Ave, Brockton, MA 02302, USA","20 BELLEVUE AVE, BROCKTON, MA"
42.0787675,-71.0219399,"street_address","340 Warren Ave, Brockton, MA 02301, USA","340 WARREN AVE, BROCKTON, MA"
42.0733614,-71.026549,"premise","160 Brook Street Extension, Brockton, MA 02301, USA","160 BROOK ST EXT, BROCKTON, MA"
42.081847,-70.9984761,"premise","86 Hill St, Brockton, MA 02302, USA","86 HILL ST, BROCKTON, MA"
42.0821288,-71.0229431,"intersection","MA-123 & W Elm St, Brockton, MA 02301, USA","W ELM ST, BROCKTON, MA @ WARREN AVE, BROCKTON, MA"
42.0694446,-71.0143675,"premise","58 Clinton St, Brockton, MA 02302, USA","58 CLINTON ST, BROCKTON, MA"
42.0771476,-71.0172997,"premise","419 Montello St, Brockton, MA 02301, USA","419 MONTELLO ST, BROCKTON, MA"
42.1010046,-71.0667275,"street_address","349 N Pearl St, Brockton, MA 02301, USA","349 N PEARL ST, BROCKTON, MA"
42.0997225,-70.99441,"premise","74 Nicholson Dr, Brockton, MA 02302, USA","74 NICHOLSON DR, BROCKTON, MA"
42.0678312,-71.0151819,"street_address","917 Montello St, Brockton, MA 02301, USA","917 MONTELLO ST, BROCKTON, MA"
42.1024439,-71.0291876,"premise","108 Oak St, Brockton, MA 02301, USA","108 OAK ST, BROCKTON, MA"
42.093099,-71.0543629,"premise","200 Westgate Dr, Brockton, MA 02301, USA","200 WESTGATE DR, BROCKTON, MA"
42.0660387,-71.0249428,"street_address","105 Hillberg Ave, Brockton, MA 02301, USA","105 HILLBERG AVE, BROCKTON, MA"
42.0978285,-71.0615518,"street_address","235 N Pearl St, Brockton, MA 02301, USA","235 N PEARL ST, BROCKTON, MA"
42.0583261,-71.0449436,"premise","20 Woodvale St, Brockton, MA 02301, USA","20 WOODVALE ST, BROCKTON, MA"
42.0838297,-71.0230145,"intersection","MA-123 & Legion Pkwy, Brockton, MA 02301, USA","99 LEGION PKWY, BROCKTON, MA @ 60 WARREN AVE, BROCKTON, MA"
42.0596285,-71.0221431,"street_address","167 Keith Avenue Extension, Brockton, MA 02301, USA","167 KEITH AVE EXT, BROCKTON, MA"
42.0561908,-71.0709197,"premise","1350 Belmont St, Brockton, MA 02301, USA","1350 BELMONT ST, BROCKTON, MA"
42.0825211,-71.0234585,"premise","175 Warren Ave, Brockton, MA 02301, USA","175 WARREN AVE, BROCKTON, MA"
42.075392,-71.0441362,"street_address","21 Torrey St, Brockton, MA 02301, USA","21 TORREY ST, BROCKTON, MA"
42.0768976,-71.0318235,"intersection","Manomet St & Leavitt St, Brockton, MA 02301, USA","30 MANOMET ST, BROCKTON, MA @ 82 LEAVITT ST, BROCKTON, MA"
42.0832229,-71.0229699,"intersection","MA-123 & Frederick Douglass Ave, Brockton, MA 02301, USA","105 WARREN AVE, BROCKTON, MA @ 99 FREDERICK DOUGLAS AVE, BROCKTON, MA"
42.0559116,-71.0403166,"intersection","W Chestnut St & Talbot St, Brockton, MA 02301, USA","619 W CHESTNUT ST, BROCKTON, MA @ 67 TALBOT ST, BROCKTON, MA"
42.0696947,-71.0470684,"route","Belmont St, Brockton, MA 02301, USA","BELMONT ST, BROCKTON, MA"
